sourceWallet,date,amount,destinationWallet,addressGroup
"1Fc2L3hsV2aSAeZfou1JCNYXTyReD1Cg7Z, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 18wePberuwn9DQUQcdiSpSFnsktt8ntVT4, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 13u1pzpKWfTHZYhuSsCqek52L9QCQrCfQ8",05/07/2021 08:28,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u,06/07/2021 00:47,20,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 1CZ3PyTaieBcS1n3tCpGxKnYhQ6PnAVpbK",07/07/2021 01:49,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"13ckcpPmGVRnMggfYvo9t8w8UkM9t5VE5X, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 1Hz3HDBW5xxig7YYkgfhoET3726QQ1zC5B, 1FkZ854eJweE3vb67yhr3Gt7xXuUN6yhBS, 19ecDd7Xj7HXCQqTa1hQqdUb2rkrJQhqZh",07/07/2021 06:46,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u",09/07/2021 04:38,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 1Hz3HDBW5xxig7YYkgfhoET3726QQ1zC5B, 1Hz3HDBW5xxig7YYkgfhoET3726QQ1zC5B",09/07/2021 08:01,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u",11/07/2021 01:24,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
1GWrrVZX8JkaPt2SCCANdw9thzHCbsFxG6,15/07/2021 19:47,40,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, 1GWrrVZX8JkaPt2SCCANdw9thzHCbsFxG6, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u",17/07/2021 01:24,40,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
13u1pzpKWfTHZYhuSsCqek52L9QCQrCfQ8,17/07/2021 04:56,20,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u",17/07/2021 04:56,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u, bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u",17/07/2021 08:15,30,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
"1Fbdd5ybUxwvKaHTiFsDy8EfHU7kX7Pt7K, 125QKFnRoQ4UxBRVNWr9gkpfW7e1ptbCDK",19/07/2021 20:51,40,bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx,Conti
