amount
10.0
14.0
14.0
1.7
28.0
14.0
14.0
13.0
13.0
1.7
28.0
0.028
1.7
7.091e-05
1.0
0.0009
1.0
28.0
1.7
14.0
14.0
14.0
14.0
13.64975725
13.65
1.7
11.0
11.0
12.05
1.7
6.0
6.0
12.0
12.0
13.0
1.7
11.0
31.2
3.4
3.4
7.9999
18.0
0.0002
11.4999
22.0
0.0008
1.71
1.71
0.0001
1.0
0.0002
0.9999
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.002205
20.5
1.5
0.002305
