sourceAddress,date,amount,destinationWallet,addressGroup
bc1q8yja3gw33ngd8aunmfr4hj820adc9nlsv0syvz,"2023-02-03 13:19:18",2.02201,1FJ4xoPrBzZh7QsVcQqESZSMpPmCuKv3cC,NotNevada
bc1qgjz768lefgl809nwx8z58zv733g9u43chj8uqf,"2023-02-04 10:59:15",0.5,1NGaBgyQCyNHfeYAtGumzz5HDZpqL39o2M,NotNevada
bc1qktl7rq9d7n8ml5dzhdxmymfp9tzlge0uek6l8rkzp8jl8cwn7yrs48uf3a,"2023-02-04 11:39:40",0.21459227,19dCNXkarAedQhhF3SJsHRAMP7T6bVdKBs,NotNevada
"bc1q6zgxu8h359cny3vdl6az7w3kq9el6ku5r9jxt3jqxnr36etmtyeskqs9dm, bc1qvw6tndfjp4tz96u4lpw3d5r73n2spa6g6g20a947y9zwnwqedqzq9q8jl0, 3FpdghEwKaVHRxQnwsNFfDvy3NcBV3nxXf","2023-02-04 04:40:50",0.004145,19dCNXkarAedQhhF3SJsHRAMP7T6bVdKBs,NotNevada
"bc1qs2852wna0k8xxw0zyld3n8cm807a3t9npex29d, bc1q8fpfreqzpmrp6kle0py5xkmjeyh2x883wg6j2u","2022-10-14 18:12:35",1.08381,bc1q46zs36ey53lem5qv2pryumtmdtmtr352fdk4pj,NotNevada
