sourceAddress,date,amount,destinationWallet,addressGroup
"1JcNS4m5ME4JZAZcQ5Z5sSQ5UnaRcSHUwR, 1Ej4Jm8J83tKG4wUAbikNF3rQoGckH4Emp, 1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn",12/08/2017 07:36,0.06585337,1FEsU4nL3WBG4YWmzR9BwKtdn9ALqobWJ3,HC6HC7
14vhX6ykUFn95VQKLzsu7NU8qUWg8xwGe7,16/08/2017 20:37,0.04622386,1G7sCE1rSKZh4kif6a8hLU1fSn3sxg8Yp5,HC6HC7
"3KWbz9AhoMYzzTsi4pc1QEPJMbJx2vEdp8, 38otniK2CQ4Q6A7US6aZUyJ8CtcbGgmQZy, 3QWCpD8119LZ6brmSx9aBpczTgKLzitKUn, 36b8AHY4fJGZAwjbodAxrN2FUAyzpmkXqZ, 378CfXh56WAqLJpUQ5bkN12hxNmr5Cxm6N, 34Z17yZJBpAW6Lcy8FMRUeXLspqdk54nSJ, 3MqiqxEDjTyYcW41dwTap3HMT5RZmuyAQT, 38NbXdap8RrMka1gL6uvT1oheW4HzwQUwE, 3QWCpD8119LZ6brmSx9aBpczTgKLzitKUn, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 34Z17yZJBpAW6Lcy8FMRUeXLspqdk54nSJ, 3CUpEi3URsiiybWDKkgotzVxWTr5SB8F9G, 35RrAEGUHYJ6rQVCBxQpTPcMjyhy3nqcJF, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 32b5pMnVG1qKvVwCR9SCQcKCNv55ma6xsW, 3JQgSeA5ujtUfmSwofYfAuyqYzhzH7zGc1, 34wjcFyCunsdjLzSuD9svKxNEy589habu1, 3QWCpD8119LZ6brmSx9aBpczTgKLzitKUn, 3CSRCRbrHyeUpQ9HFFDugz3zNYCNMKBChF, 36qk4p6Kwa34SvQmKUTnTRmK1QoPu7JmCg, 3EkoFhRDB2UpBpafcZ9sGK4CM8s2LH4sNT, 3GV1eia3GCvRzgNpLTKgNHPH9AHN8kUYPP, 3KJBu6pmoghnMLSj1xZhTnj9VLf8AXve9Z, 3QXVMYhrgFxHEyApKYFnCbDcs6Ksx3JAy4, 3KBHMJBGhYkdghAJbiN1Uuv4gUemKNJcSM",27/11/2017 23:42,0.15241931,1DdLF32aXfjiURL6VWbsW3rWSuaLZUBfrN,HC6HC7
17rZaGMUbsLdwoXEVpkFRBWk4E5oLX3w1L,01/08/2017 00:19,0.0108,1NYeBBMrHgPpbLC7ExXqCx7wzfpeUcADs6,HC6HC7
14Mq4ye7m7G6Yma1dZUxht5cVTqJr3rev3,10/08/2017 19:22,0.02928249,1NYaVPJGEFzwCzYsvp5swNTDiU2so1BvKx,HC6HC7
1BA1kUgPapXVWnEH6iG6jdeycJqbZM9MB7,29/07/2017 00:02,0.016,1DuMyrXt64es6BenRSHy9LPubqEq9YR99m,HC6HC7
